,agent_id,origin_nid,destin_nid,hour,quarter,tour_category,person_id
622,622,2424,2639,7,5,MANDATORY,6313803
27678,27678,2355,1150,7,4,MANDATORY,589229
17706,17706,2114,1766,7,3,MANDATORY,3983192
21173,21173,415,2354,7,0,MANDATORY,2074022
16250,16250,1524,2354,7,4,MANDATORY,3247355
13303,13303,987,2463,7,2,MANDATORY,365821
12214,12214,117,1542,7,1,MANDATORY,7733272
13849,13849,576,84,7,0,MANDATORY,5261576
536,536,2355,2052,7,0,MANDATORY,7762476
27969,27969,2355,945,7,0,MANDATORY,5869220
16419,16419,887,2354,7,2,MANDATORY,7681338
9869,9869,2416,1542,7,0,MANDATORY,4614472
25768,25768,1114,2354,7,5,MANDATORY,7489905
25104,25104,2231,786,7,0,MANDATORY,4066964
14009,14009,19,1974,7,4,MANDATORY,7804313
25459,25459,2428,2354,7,1,MANDATORY,824709
2404,2404,2424,1900,7,1,MANDATORY,3811920
23551,23551,835,2354,8,3,MANDATORY,823463
5106,5106,2173,1670,8,4,MANDATORY,4276489
22262,22262,1256,2354,7,4,MANDATORY,4939166
302,302,2355,109,7,5,MANDATORY,541716
10741,10741,517,135,8,0,MANDATORY,1111196
17783,17783,2355,1080,7,2,MANDATORY,3747764
17770,17770,1196,2327,7,2,MANDATORY,159164
12526,12526,109,1542,7,4,MANDATORY,2012827
5981,5981,1884,2697,7,3,MANDATORY,6045131
8235,8235,822,2431,7,5,MANDATORY,7004700
17278,17278,1048,2354,8,3,MANDATORY,6744115
23963,23963,689,2354,8,2,MANDATORY,2989297
10232,10232,795,1542,7,2,MANDATORY,6642638
17750,17750,1448,2354,7,2,MANDATORY,5959445
29063,29063,2355,395,7,4,MANDATORY,4668495
7464,7464,1903,84,7,1,MANDATORY,4614161
1434,1434,2424,1944,8,2,MANDATORY,7577529
20135,20135,177,2354,7,3,MANDATORY,7006497
10371,10371,2495,1542,8,4,MANDATORY,3197027
17347,17347,1045,2354,8,5,MANDATORY,4047996
5763,5763,2355,1425,7,1,MANDATORY,1882291
12857,12857,2684,84,8,2,MANDATORY,7550456
29152,29152,531,1542,8,3,MANDATORY,2497212
22777,22777,217,2233,8,2,MANDATORY,87325
8778,8778,364,707,8,1,MANDATORY,1047963
9925,9925,1188,1542,7,5,MANDATORY,7005035
20253,20253,170,759,8,1,MANDATORY,4839229
9963,9963,1191,1542,7,1,MANDATORY,3562989
12631,12631,1388,2049,8,2,MANDATORY,2988890
28305,28305,2173,1654,8,3,MANDATORY,7032449
