GP_file,Longitude,Latitude
1797.csv,-93.05, 30.13
1798.csv,-93.03, 30.13
1799.csv,-93.00, 30.13
1800.csv,-92.97, 30.13
1801.csv,-92.95, 30.13
1802.csv,-92.93, 30.13
1803.csv,-92.90, 30.13
1804.csv,-92.88, 30.13
1805.csv,-92.85, 30.13
1806.csv,-93.80, 30.15
1807.csv,-93.78, 30.15
1808.csv,-93.75, 30.15
1809.csv,-93.72, 30.15
1810.csv,-93.70, 30.15
1811.csv,-93.68, 30.15
1812.csv,-93.65, 30.15
1813.csv,-93.63, 30.15
1814.csv,-93.60, 30.15
1815.csv,-93.57, 30.15
1816.csv,-93.55, 30.15
1817.csv,-93.53, 30.15
1818.csv,-93.50, 30.15
1819.csv,-93.47, 30.15
1820.csv,-93.45, 30.15
1821.csv,-93.43, 30.15
1822.csv,-93.25, 30.15
1823.csv,-93.22, 30.15
1824.csv,-93.20, 30.15
1825.csv,-93.18, 30.15
1826.csv,-93.15, 30.15
1827.csv,-93.13, 30.15
1828.csv,-93.10, 30.15
1829.csv,-93.07, 30.15
1830.csv,-93.05, 30.15
1831.csv,-93.03, 30.15
1832.csv,-93.00, 30.15
1833.csv,-92.97, 30.15
1834.csv,-92.95, 30.15
1835.csv,-92.93, 30.15
1836.csv,-92.90, 30.15
1837.csv,-92.88, 30.15
1838.csv,-92.85, 30.15
1839.csv,-93.80, 30.17
1840.csv,-93.78, 30.17
1841.csv,-93.75, 30.17
1842.csv,-93.72, 30.17
1843.csv,-93.70, 30.17
1844.csv,-93.68, 30.17
1845.csv,-93.65, 30.17
1846.csv,-93.63, 30.17
1847.csv,-93.60, 30.17
1848.csv,-93.57, 30.17
1849.csv,-93.55, 30.17
1850.csv,-93.53, 30.17
1851.csv,-93.50, 30.17
1852.csv,-93.47, 30.17
1853.csv,-93.45, 30.17
1854.csv,-93.43, 30.17
1855.csv,-93.40, 30.17
1856.csv,-93.38, 30.17
1857.csv,-93.35, 30.17
1858.csv,-93.32, 30.17
1859.csv,-93.30, 30.17
1860.csv,-93.28, 30.17
1861.csv,-93.25, 30.17
1862.csv,-93.22, 30.17
1863.csv,-93.20, 30.17
1864.csv,-93.18, 30.17
1865.csv,-93.15, 30.17
1866.csv,-93.13, 30.17
1867.csv,-93.10, 30.17
1868.csv,-93.07, 30.17
1869.csv,-93.05, 30.17
1870.csv,-93.03, 30.17
